,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
58136,7194425341,0,2017.0,chevrolet,lt sonic hatchback,excellent,4 cylinders,gas,119590.0,automatic,hatchback,37.7024,-121.072
58157,7194334589,6900,2009.0,volkswagen,golf gti,excellent,4 cylinders,gas,117600.0,manual,hatchback,37.7005,-121.025
58168,7194041423,4500,2015.0,chevrolet,spark,good,4 cylinders,gas,111195.0,automatic,hatchback,37.7005,-121.025
58186,7193934565,6995,2014.0,fiat,500l,excellent,4 cylinders,gas,41775.0,manual,hatchback,37.7374,-120.926
58216,7187396937,20000,2017.0,chevrolet,bolt,excellent,other,electric,25000.0,other,hatchback,40.73,-111.956
58235,7194638371,8900,2012.0,mini,cooper countryman s,excellent,4 cylinders,gas,109500.0,automatic,hatchback,42.2539,-71.4583
58243,7194615947,2795,2006.0,toyota,matrix xr,fair,4 cylinders,gas,230400.0,automatic,hatchback,42.5326,-70.9612
58254,7191143369,4500,1985.0,toyota,celica supra,fair,6 cylinders,gas,87668.0,automatic,hatchback,29.8868,-97.6769
58307,7184311402,17250,2017.0,ford,focus st,like new,4 cylinders,gas,54430.0,manual,hatchback,34.7684,-86.8951
58339,7194468446,3500,2004.0,toyota,matrix xrs,good,4 cylinders,gas,235140.0,manual,hatchback,36.7103,-121.644
58409,7194339349,3000,2004.0,volkswagen,beetle,fair,4 cylinders,gas,170050.0,automatic,hatchback,36.6677,-121.66
58422,7192612835,10351,2015.0,ford,focus se,like new,4 cylinders,gas,51733.0,automatic,hatchback,37.7973,-121.246
58453,7189184551,7500,2015.0,fiat,500 abarth,like new,4 cylinders,gas,104565.0,automatic,hatchback,37.1409,-113.504
58497,7193322117,7500,2009.0,volkswagen,jetta sportwagen,excellent,5 cylinders,gas,115000.0,automatic,hatchback,34.402,-119.298
58505,7190963332,6699,2009.0,honda,fit,excellent,4 cylinders,gas,86000.0,automatic,hatchback,30.231,-97.714
58508,7190956055,13900,2014.0,subaru,wrx,good,4 cylinders,gas,131000.0,manual,hatchback,30.3223,-97.739
58520,7183947050,5500,1991.0,dodge,stealth,excellent,6 cylinders,gas,93000.0,manual,hatchback,41.7101,-85.9729
58531,7193710770,16499,2018.0,toyota,corolla,excellent,4 cylinders,gas,19383.0,automatic,hatchback,37.1353,-121.65
58544,7186673854,4695,2011.0,mazda,mazda3,good,4 cylinders,gas,229655.0,automatic,hatchback,39.127,-84.5131
58570,7193084349,13500,2018.0,hyundai,ioniq hybrid,good,4 cylinders,hybrid,42000.0,automatic,hatchback,34.2656,-118.765
58600,7190908041,4000,2013.0,chevrolet,spark,excellent,4 cylinders,gas,98000.0,automatic,hatchback,30.6399,-97.6849
58638,7186214767,3000,1989.0,ford,escort pony,good,4 cylinders,gas,51000.0,automatic,hatchback,39.29,-85.213
58648,7190842472,7999,2012.0,toyota,prius,good,4 cylinders,hybrid,130000.0,automatic,hatchback,30.5116,-97.7795
58750,7195154938,4200,2006.0,mazda,3,good,4 cylinders,gas,178000.0,manual,hatchback,33.6801,-117.909
58754,7192788411,13988,2016.0,ford,c-max energi,good,4 cylinders,hybrid,62299.0,automatic,hatchback,34.2216,-118.413
58757,7192788227,16988,2016.0,toyota,prius,good,4 cylinders,gas,84619.0,automatic,hatchback,34.2216,-118.413
