,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
7716,7187886638,8550,2001.0,toyota,mr2 spyder,excellent,4 cylinders,gas,74600.0,manual,convertible,44.1445,-123.054
7833,7194475996,10200,2010.0,bmw,128i convertible,excellent,6 cylinders,gas,127828.0,automatic,convertible,25.7628,-80.3611
7834,7194474757,16500,1974.0,mercedes-benz,benz 350sl,excellent,8 cylinders,gas,166700.0,manual,convertible,25.6298,-80.2941
7840,7179540897,18999,2009.0,ford,mustang gt convertible,excellent,8 cylinders,gas,36000.0,manual,convertible,40.7482,-82.4916
7890,7188706093,7500,1988.0,ford,mustang,excellent,8 cylinders,gas,109000.0,manual,convertible,42.2363,-122.786
7912,7186811614,7500,2008.0,bmw,128i convertible,excellent,6 cylinders,gas,102800.0,manual,convertible,44.0472,-122.934
7933,7193935843,1600,1979.0,mercedes-benz,450sl,good,8 cylinders,gas,167755.0,automatic,convertible,43.0225,-76.435
7946,7194394007,4950,2012.0,ford,mustang convertible,excellent,6 cylinders,gas,136000.0,automatic,convertible,25.6694,-80.4085
7947,7191361412,5000,1997.0,bmw,328,good,6 cylinders,gas,137864.0,automatic,convertible,35.7352,-78.896
7996,7188069863,2950,1996.0,mazda,miata,good,4 cylinders,gas,188400.0,automatic,convertible,42.3363,-122.84
8010,7186480002,2950,2003.0,toyota,solara,good,6 cylinders,gas,216000.0,automatic,convertible,43.9058,-123.028
8018,7194321409,13499,2013.0,volkswagen,eos,like new,4 cylinders,gas,37283.0,automatic,convertible,25.7539,-80.2253
8023,7194314993,5999,2009.0,volkswagen,new beetle,good,5 cylinders,gas,102000.0,automatic,convertible,26.528,-80.08
8045,7188554486,7950,2008.0,pontiac,g6,excellent,6 cylinders,gas,81500.0,automatic,convertible,44.9089,-123.989
8068,7193261600,9800,1974.0,chevrolet,corvette,excellent,8 cylinders,gas,61000.0,manual,convertible,43.0734,-76.0558
8102,7186229731,5995,2001.0,chevrolet,camero,excellent,6 cylinders,gas,85467.0,automatic,convertible,44.066,-123.139
8136,7186224150,5995,2003.0,mazda,mita convertable,excellent,4 cylinders,gas,156125.0,manual,convertible,44.0662,-123.139
8149,7186220978,4995,1997.0,ford,mustang,excellent,8 cylinders,gas,141241.0,automatic,convertible,44.0662,-123.139
8208,7179165598,26584,2018.0,ford,mustang ecoboost,excellent,4 cylinders,gas,29937.0,automatic,convertible,41.6216,-83.4938
8297,7178594419,15500,1996.0,chevrolet,corvette,excellent,8 cylinders,gas,46000.0,automatic,convertible,34.7269,-86.5673
8393,7192886186,19500,2011.0,bmw,z4 convertible,excellent,6 cylinders,gas,64000.0,manual,convertible,44.8242,-68.7918
8420,7194863138,5250,2006.0,audi,tt,excellent,4 cylinders,gas,158000.0,automatic,convertible,28.3882,-80.6644
8460,7194671208,10999,2004.0,mercedes-benz,benz sl500,like new,8 cylinders,gas,129898.0,automatic,convertible,28.5697,-80.8191
8475,7194530054,5500,2007.0,ford,mustang,excellent,6 cylinders,gas,111000.0,automatic,convertible,28.6416,-80.8554
8502,7194395163,9895,2005.0,bmw,z4 convertible,excellent,6 cylinders,gas,96534.0,automatic,convertible,28.4315,-80.7085
8552,7193519617,15800,2014.0,volkswagen,beetle 25k warranty,excellent,5 cylinders,gas,25000.0,automatic,convertible,27.3215,-80.403
8558,7194980692,2500,2004.0,ford,mustang,good,6 cylinders,gas,111000.0,automatic,convertible,29.9175,-81.3668
8583,7194690233,4500,2007.0,toyota,camry solara convertible,excellent,6 cylinders,gas,187542.0,automatic,convertible,30.4742,-84.288
8614,7195106179,12700,2010.0,ford,mustang convertible,like new,6 cylinders,gas,49700.0,automatic,convertible,28.1801,-82.4169
8625,7193756825,4995,1997.0,ford,mustang,good,8 cylinders,gas,120000.0,manual,convertible,43.4874,-75.3326
8626,7193628228,7988,1996.0,ford,mustang,excellent,8 cylinders,gas,50607.0,automatic,convertible,43.9991,-75.9182
8651,7195017954,7900,2009.0,bmw,128i convertible,excellent,6 cylinders,gas,114681.0,automatic,convertible,27.921,-82.5079
8666,7194968734,6000,2002.0,mazda,miata,good,4 cylinders,gas,127000.0,automatic,convertible,28.0081,-82.5805
8673,7194943774,19977,2007.0,jaguar,xk,excellent,8 cylinders,gas,43534.0,automatic,convertible,26.1389,-81.7689
8710,7194906616,0,2008.0,volvo,c70 convertible,like new,5 cylinders,gas,131684.0,automatic,convertible,39.1221,-84.1398
8724,7194820501,6695,2003.0,ford,mustang gt convertible,excellent,8 cylinders,gas,107000.0,automatic,convertible,27.9381,-82.797
8744,7194765680,8799,1999.0,mazda,miata mx5 nb,excellent,4 cylinders,gas,61500.0,manual,convertible,27.5429,-82.563
8765,7190036539,28900,2004.0,mercedes-benz,sl55 amg,excellent,8 cylinders,gas,20057.0,automatic,convertible,35.8658,-78.5908
8789,7190006273,7000,1997.0,bmw,convertable,excellent,6 cylinders,gas,72000.0,manual,convertible,35.4897,-78.7249
8811,7189825367,2000,1996.0,ford,mustang,fair,4 cylinders,gas,176000.0,manual,convertible,35.836,-78.5812
8840,7192031756,10900,1971.0,buick,skylark convertible,good,8 cylinders,gas,142800.0,automatic,convertible,43.8973,-69.9779
8875,7194347420,3550,2007.0,chrysler,pt cruiser convertible,like new,4 cylinders,gas,94000.0,automatic,convertible,27.8942,-82.6746
8888,7195097961,4995,2005.0,audi,a4 cabriolet quattro,excellent,6 cylinders,gas,149008.0,automatic,convertible,42.9403,-71.5213
